"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008361","GO:0008361","regulation of cell size","13/675","212/22853",0.0106187385782465,0.0964499595153682,0.0809359213602975,"Tsc2/Eif2b2/Ptprs/Sema6a/Rtn4/Slit1/Fn1/Sema6d/Macf1/Add1/Cyfip1/Plxna3/Nrg1",13
"GO:0006476","GO:0006476","protein deacetylation","8/675","102/22853",0.0107226417486006,0.0968058219838453,0.0812345431213481,"Sirt2/Sirt1/Mta1/Tbl1xr1/Ncor2/Flna/Hdac11/Mta2",8
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","8/675","102/22853",0.0107226417486006,0.0968058219838453,0.0812345431213481,"Sirt2/Dab2/Ptk2/Arih1/Fbxw7/Smurf1/Cop1/Rnf14",8
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","8/675","102/22853",0.0107226417486006,0.0968058219838453,0.0812345431213481,"Bcl2l12/Sirt1/Rrm2b/Src/Ybx3/G2e3/Sh3glb1/Opa1",8
"GO:0000722","GO:0000722","telomere maintenance via recombination","3/675","16/22853",0.0107798935823382,0.09693263026844,0.0813409542116312,"Smc6/Rad51/Tprkb",3
"GO:0070572","GO:0070572","positive regulation of neuron projection regeneration","3/675","16/22853",0.0107798935823382,0.09693263026844,0.0813409542116312,"Rtn4/Flna/Nrg1",3
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","9/675","123/22853",0.0108312775067821,0.0971998843458626,0.0815652202984412,"Sirt2/Dab2/Ptk2/Arih1/Fbxw7/Tmtc3/Smurf1/Cop1/Rnf14",9
"GO:0050821","GO:0050821","protein stabilization","12/675","190/22853",0.0110959599909011,0.0992489954996578,0.0832847306023896,"Usp19/Rtn4/Sugt1/Wiz/Epha4/Stxbp1/Fbxw7/Flna/Ank2/Apbb1/Morc3/Aak1",12
"GO:0006887","GO:0006887","exocytosis","21/675","411/22853",0.0111039060592825,0.0992489954996578,0.0832847306023896,"Septin1/Stxbp2/Git1/Exoc7/Dmtn/Rab2b/Scrib/Nrxn1/Rab3il1/Stxbp1/Erc1/Apba2/Pik3c2a/Cask/Ap1g1/Exoc3/Myo5a/Exoc1/Srcin1/Erc2/Clasp1",21
"GO:0042060","GO:0042060","wound healing","19/675","360/22853",0.0111259738659077,0.0992489954996578,0.0832847306023896,"Evl/Dmtn/Plec/Scrib/Ptk2/Fn1/Vangl2/Stxbp1/Gnas/Macf1/Adipor2/Cask/Flna/Tpm1/Phldb2/Fermt2/Abat/Nrg1/Clasp1",19
"GO:0001941","GO:0001941","postsynaptic membrane organization","5/675","46/22853",0.0111807444930413,0.0995396836116593,0.083528661344212,"Nrxn1/Sorbs1/Nlgn3/Agrn/Gphn",5
"GO:0021533","GO:0021533","cell differentiation in hindbrain","4/675","30/22853",0.0112331364411477,0.0996108363862249,0.083588369149127,"Psap/Nrxn1/Ophn1/Atxn2",4
"GO:0021952","GO:0021952","central nervous system projection neuron axonogenesis","4/675","30/22853",0.0112331364411477,0.0996108363862249,0.083588369149127,"Nin/Epha4/Ephb1/Szt2",4
